0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 9.986244019167652368e+02 3.289519496598035386e-02 1.248971781142159290e-04 2.681598674262454018e+00
3.000000000000000000e+00 9.444095481158436769e+02 4.528651256824035853e-02 1.304343196515888811e-04 3.079227333611084472e+00
4.000000000000000000e+00 8.924150948431757797e+02 4.242923237541253861e-02 1.174074709995871199e-04 2.954489699008298054e+00
5.000000000000000000e+00 8.531968743003562849e+02 3.077171924692987184e-02 9.663272801136764010e-05 2.572826544596851672e+00
6.000000000000000000e+00 8.259730390815142300e+02 1.847978353191341919e-02 7.649932258109368697e-05 2.115167721868359774e+00
7.000000000000000000e+00 8.082945053924778449e+02 1.009934844584450819e-02 6.173829964973796271e-05 1.686166954633714798e+00
8.000000000000000000e+00 7.973381424462589848e+02 6.030057710433037177e-03 5.385922107930322088e-05 1.337734915805732117e+00
9.000000000000000000e+00 7.917201755863536619e+02 4.559705034023565917e-03 5.245025294920789940e-05 1.083856997268038302e+00
1.000000000000000000e+01 7.900441441681973629e+02 3.969840840780601045e-03 5.625429962032724033e-05 9.237674581961013986e-01
1.100000000000000000e+01 7.909706218244668889e+02 3.452793281305246900e-03 6.383598400096682332e-05 8.455712601988950583e-01
1.200000000000000000e+01 7.951350124225803029e+02 2.965110124589481061e-03 7.401829921014173850e-05 8.326488484112103405e-01
1.300000000000000000e+01 8.006195663550496420e+02 2.682513888711228391e-03 8.595201097623301762e-05 8.612910311770692884e-01
1.400000000000000000e+01 8.073094730496046623e+02 2.663271881857170228e-03 9.913129327122225862e-05 9.078561051639530977e-01
1.500000000000000000e+01 8.141662151571966888e+02 2.825270134193629250e-03 1.132972623119568741e-04 9.617779293935219131e-01
1.600000000000000000e+01 8.228830100744285119e+02 3.058013563971282486e-03 1.283324396774759228e-04 1.021309778833334292e+00
1.700000000000000000e+01 8.333035505557870692e+02 3.364802671916500374e-03 1.441974082647971746e-04 1.081665374584365180e+00
1.800000000000000000e+01 8.443033099730009781e+02 3.781144477573728999e-03 1.608703688731590920e-04 1.140038066160007801e+00
1.900000000000000000e+01 8.566491395464188372e+02 4.354944477756683523e-03 1.783435597518920779e-04 1.199714164811453099e+00
2.000000000000000000e+01 8.687335799750771912e+02 5.107649085893782234e-03 1.966120928469176888e-04 1.256413301925992654e+00
